,keyword,count
20,MyViettel,5
67,},5
66,triald,3
32,Viettel,3
14,Instagram,2
65,thermalmonitord,2
35,WhatsApp,2
23,RTCR,2
11,Facebook,2
49,iCloud Analytics,1
48,duetexpertd,1
47,cloudd,1
46,batteryhealthd,1
0,ABABank,1
45,backboardd,1
44,autobrightness,1
50,installcoordinationd,1
42,ambient light sensor,1
41,accessoryd,1
40,ZingMP3,1
43,autoOpenShareSheet,1
53,logd,1
51,jailbreak,1
52,linked_device_id,1
38,Xiaomi-backdoor,1
54,logpower,1
55,managedconfigurationd,1
56,mcinstall,1
57,mobileconfig,1
58,nsurlsessiond,1
59,proactive_event_tracker,1
60,profileinstalld,1
61,remoteAIClient,1
62,roots_installed:1,1
63,sharingd,1
64,suggestionService,1
39,YouTube,1
34,Vingroup,1
37,WifiLQMMetrics,1
17,Lightning,1
2,BackgroundShortcutRunner,1
3,Binance,1
4,Bkav,1
5,Bybit,1
6,CEBBank,1
7,CVE-2025-3245,1
8,CloudKitDaemon,1
9,DroopCount,1
10,EraseDevice,1
12,Gmail,1
13,HSBC,1
15,InstallConfigurationProfile,1
16,JetsamEvent,1
18,MCProfile,1
36,WifiLQMM,1
19,Mobifone,1
21,OKX,1
22,OPPOUnauthorizedFirmware,1
24,RemoveConfigurationProfile,1
25,STExtractionService,1
26,Samsung-Exynos,1
27,SensorKit,1
28,TronLink,1
29,UNKNOWN PID,1
30,VNG,1
31,VNPT,1
33,VinFast,1
1,BIDV,1
68,認証,1
